No,filename,data_split,Links,main_label,sub_label,Healthy Lifestyle and Weight Loss,Weight Lifting,Running,Yoga,Haircare,Makeup,Skincare,Outfit,Accommodation,Adventure,Culture,Food and drink,duration,frame_count,height,width,fps
1,Travel_1.mp4,train,https://www.tiktok.com/@travelaholicgf/video/7315414313156480261,Travel,Accommodation,0,0,0,0,0,0,0,0,1,0,0,0,67.66666667,2030,1024,576,30
2,Travel_2.mp4,test,https://www.tiktok.com/@usfirster/video/7310556632109354247,Travel,Accommodation,0,0,0,0,0,0,0,0,1,0,0,0,67.93333333,2038,1024,576,30
2,Travel_2.mp4,validation,https://www.tiktok.com/@usfirster/video/7310556632109354247,Travel,Accommodation,0,0,0,0,0,0,0,0,1,0,0,0,67.93333333,2038,1024,576,30
3,Travel_3.mp4,train,https://www.tiktok.com/@storiesfan/video/7290141227058515206?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,"Accommodation, Adventure",0,0,0,0,0,0,0,0,1,1,0,0,23.93333333,718,1024,576,30
3,Travel_3.mp4,test,https://www.tiktok.com/@storiesfan/video/7290141227058515206?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,"Accommodation, Adventure",0,0,0,0,0,0,0,0,1,1,0,0,23.93333333,718,1024,576,30
4,Travel_4.mp4,train,https://www.tiktok.com/@traveloka.th/video/7170899432383204634?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,Adventure,0,0,0,0,0,0,0,0,0,1,0,0,78.3,2349,1024,576,30
5,Travel_5.mp4,test,https://www.tiktok.com/@traveloka.th/video/7213402132479855878?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,Adventure,0,0,0,0,0,0,0,0,0,1,0,0,104.2,3126,1024,576,30
5,Travel_5.mp4,validation,https://www.tiktok.com/@traveloka.th/video/7213402132479855878?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,Adventure,0,0,0,0,0,0,0,0,0,1,0,0,104.2,3126,1024,576,30
6,Travel_6.mp4,train,https://www.tiktok.com/@traveloka.th/video/7233756927778376965?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,Adventure,0,0,0,0,0,0,0,0,0,1,0,0,81.1,2433,1024,576,30
7,Travel_7.mp4,test,https://www.tiktok.com/@triple_s_family3/video/7273417455546928389?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,Adventure,0,0,0,0,0,0,0,0,0,1,0,0,71.7,2151,1024,576,30
7,Travel_7.mp4,validation,https://www.tiktok.com/@triple_s_family3/video/7273417455546928389?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,Adventure,0,0,0,0,0,0,0,0,0,1,0,0,71.7,2151,1024,576,30
8,Travel_8.mp4,train,https://www.tiktok.com/@ttm_aaa/video/7276425066559048966?q=%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702546745184,Travel,Adventure,0,0,0,0,0,0,0,0,0,1,0,0,14.86666667,446,1024,576,30
9,Travel_9.mp4,test,https://www.tiktok.com/@tualeknutcha/video/7214438523783367962?q=Vlogs%20%E0%B9%84%E0%B8%9B%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702547477389,Travel,Adventure,0,0,0,0,0,0,0,0,0,1,0,0,18.33333333,550,1024,576,30
9,Travel_9.mp4,validation,https://www.tiktok.com/@tualeknutcha/video/7214438523783367962?q=Vlogs%20%E0%B9%84%E0%B8%9B%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7&t=1702547477389,Travel,Adventure,0,0,0,0,0,0,0,0,0,1,0,0,18.33333333,550,1024,576,30
